Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,5,42,398,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,25,05:02,63,43,20241024200700
2024,RS,5,42,402,RED,P002553,"MITROVIC, LUKA",2FGA,Missed Two Pointer,0,-138,100,B,0,0,0,26,04:40,63,43,20241024200728
2024,RS,5,42,408,MAD,P003733,"ABALDE, ALBERTO",2FGM,Two Pointer,2,131,156,C,0,0,1,26,04:12,65,43,20241024200756
2024,RS,5,42,410,RED,P009048,"MILLER-MCINTYRE, CODI",2FGA,Missed Two Pointer,0,-181,100,B,0,0,0,27,03:53,65,43,20241024200815
2024,RS,5,42,418,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,27,03:50,66,43,20241024200900
2024,RS,5,42,419,MAD,P005928,"CAMPAZZO, FACUNDO",FTM,Free Throw In,1,-1,-1, ,0,0,0,27,03:50,67,43,20241024200913
2024,RS,5,42,422,RED,P004007,"DOBRIC, OGNJEN",3FGA,Missed Three Pointer,0,664,445,I,0,0,0,27,03:39,67,43,20241024200936
2024,RS,5,42,424,MAD,P003583,"IBAKA, SERGE",3FGA,Missed Three Pointer,0,-451,690,H,0,0,0,27,03:25,67,43,20241024200950
2024,RS,5,42,426,RED,P004007,"DOBRIC, OGNJEN",2FGM,Two Pointer,2,144,62,C,1,0,0,27,03:19,67,45,20241024200957
2024,RS,5,42,431,RED,P004007,"DOBRIC, OGNJEN",3FGA,Missed Three Pointer,0,-621,514,H,0,0,0,28,02:55,67,45,20241024201021
2024,RS,5,42,436,RED,P006240,"PLAVSIC, UROS",2FGM,Two Pointer,2,-188,144,B,0,0,1,28,02:33,67,47,20241024201114
2024,RS,5,42,438,MAD,PTGB,"LLULL, SERGIO",3FGA,Missed Three Pointer,0,-476,639,H,0,0,0,28,02:11,67,47,20241024201202
2024,RS,5,42,443,RED,P006240,"PLAVSIC, UROS",2FGM,Two Pointer,2,12,-6,A,0,0,0,29,01:51,67,49,20241024201241
2024,RS,5,42,445,MAD,P003108,"HEZONJA, MARIO",3FGA,Missed Three Pointer,0,608,545,I,0,0,0,29,01:21,67,49,20241024201311
2024,RS,5,42,447,RED,P012044,"DOS SANTOS, YAGO",3FGM,Three Pointer,3,-621,470,H,0,0,0,29,01:08,67,52,20241024201324
2024,RS,5,42,452,MAD,P009005,"DECK, GABRIEL",2FGM,Two Pointer,2,-125,138,B,0,0,0,30,00:53,69,52,20241024201518
